Time, Queue-Density
0.133333, 0.330802, 1
0.2, 0.33121, 0.0568604
0.266667, 0.332842, 0.0833829
0.333333, 0.335026, 0.07172
0.4, 0.337288, 0.0660724
0.466667, 0.341479, 0.0774947
0.533333, 0.345781, 0.0753005
0.6, 0.346624, 0.0601031
0.666667, 0.349788, 0.0721119
0.733333, 0.354277, 0.0770272
0.8, 0.356668, 0.0900088
0.866667, 0.35896, 0.0943107
0.933333, 0.36131, 0.104331
1, 0.362272, 0.0875984
1.06667, 0.363648, 0.0910275
1.13333, 0.363007, 0.119285
1.2, 0.362383, 0.118088
1.26667, 0.359746, 0.106157
1.33333, 0.350801, 0.314032
1.4, 0.352336, 0.301199
1.46667, 0.352898, 0.30392
1.53333, 0.352825, 0.293819
1.6, 0.352934, 0.139376
1.66667, 0.352839, 0.136522
1.73333, 0.354617, 0.136312
1.8, 0.356065, 0.139249
1.86667, 0.358738, 0.138019
1.93333, 0.361592, 0.138025
2, 0.362721, 0.13803
2.06667, 0.362708, 0.137668
2.13333, 0.363797, 0.148861
2.2, 0.364477, 0.144389
2.26667, 0.365556, 0.152457
2.33333, 0.366026, 0.153179
2.4, 0.366374, 0.155587
2.46667, 0.365975, 0.158265
2.53333, 0.366039, 0.159364
2.6, 0.36635, 0.155384
2.66667, 0.365256, 0.153314
2.73333, 0.364226, 0.149044
2.8, 0.364121, 0.151182
2.86667, 0.364034, 0.152333
2.93333, 0.364267, 0.150755
3, 0.35746, 0.249384
3.06667, 0.357844, 0.240758
3.13333, 0.357835, 0.237148
3.2, 0.358362, 0.231695
3.26667, 0.358681, 0.228261
3.33333, 0.359111, 0.226366
3.4, 0.360475, 0.220843
3.46667, 0.363216, 0.219343
3.53333, 0.367553, 0.219478
3.6, 0.369733, 0.219235
3.66667, 0.373271, 0.17254
3.73333, 0.378102, 0.176288
3.8, 0.380102, 0.176348
3.86667, 0.384533, 0.179593
3.93333, 0.388217, 0.183495
4, 0.390357, 0.184149
4.06667, 0.3929, 0.191324
4.13333, 0.394156, 0.197752
4.2, 0.393905, 0.197866
4.26667, 0.393843, 0.203119
4.33333, 0.391894, 0.203589
4.4, 0.391189, 0.200779
4.46667, 0.390033, 0.20273
4.53333, 0.388314, 0.200346
4.6, 0.387565, 0.196728
4.66667, 0.378437, 0.270472
4.73333, 0.376397, 0.259471
4.8, 0.37604, 0.256156
4.86667, 0.373689, 0.244117
4.93333, 0.371506, 0.239305
5, 0.369963, 0.233087
5.06667, 0.367715, 0.227766
5.13333, 0.367391, 0.223396
5.2, 0.366915, 0.219189
5.26667, 0.367007, 0.212942
5.33333, 0.368155, 0.20991
5.4, 0.369304, 0.208015
5.46667, 0.372244, 0.206167
5.53333, 0.378948, 0.209037
5.6, 0.384015, 0.207172
5.66667, 0.393708, 0.21239
5.73333, 0.405292, 0.2018
5.8, 0.410253, 0.201857
5.86667, 0.419673, 0.211215
5.93333, 0.430939, 0.219043
6, 0.436071, 0.219297
6.06667, 0.446804, 0.230055
6.13333, 0.453716, 0.237691
