Time, Queue-Density
0.133333, 0.205659, 0.017932
0.2, 0.206235, 0.0103901
0.266667, 0.208302, 0.0173646
0.333333, 0.21115, 0.0163566
0.4, 0.213071, 0.00921462
0.466667, 0.216079, 0.0174997
0.533333, 0.220162, 0.0184779
0.6, 0.221021, 0.00990639
0.666667, 0.22268, 0.0177672
0.733333, 0.224888, 0.0165863
0.8, 0.226161, 0.010282
0.866667, 0.227123, 0.0156595
0.933333, 0.227423, 0.0154784
1, 0.227707, 0.00891467
1.06667, 0.227104, 0.0148704
1.13333, 0.22655, 0.0138949
1.2, 0.22611, 0.00903357
1.26667, 0.224777, 0.0132112
1.33333, 0.221783, 0.0152676
1.4, 0.222543, 0.00872011
1.46667, 0.223015, 0.0136139
1.53333, 0.222897, 0.0140597
1.6, 0.22294, 0.00902547
1.66667, 0.224267, 0.0148407
1.73333, 0.226777, 0.0155027
1.8, 0.22778, 0.00972805
1.86667, 0.230555, 0.0162756
1.93333, 0.232581, 0.0160864
2, 0.232952, 0.00976858
2.06667, 0.233122, 0.0160918
2.13333, 0.233541, 0.0153784
2.2, 0.233638, 0.00984424
2.26667, 0.233397, 0.0150028
2.33333, 0.23346, 0.0150217
2.4, 0.233565, 0.00971994
2.46667, 0.232092, 0.0142165
2.53333, 0.231738, 0.0138192
2.6, 0.231798, 0.00976318
2.66667, 0.231098, 0.0134652
2.73333, 0.230776, 0.0129275
2.8, 0.230633, 0.00934433
2.86667, 0.230436, 0.0127059
2.93333, 0.230974, 0.012306
3, 0.229633, 0.0112197
3.06667, 0.229652, 0.0119871
3.13333, 0.229971, 0.012406
3.2, 0.229809, 0.00865526
3.26667, 0.230114, 0.0120195
3.33333, 0.230144, 0.0118736
3.4, 0.231395, 0.00904438
3.46667, 0.232952, 0.0145083
3.53333, 0.236227, 0.0172186
3.6, 0.238297, 0.0120547
3.66667, 0.242064, 0.018486
3.73333, 0.245585, 0.0194966
3.8, 0.246933, 0.0129842
3.86667, 0.250605, 0.0231311
3.93333, 0.254464, 0.0256091
4, 0.256634, 0.0171997
4.06667, 0.259125, 0.0276979
4.13333, 0.260063, 0.0281384
4.2, 0.260368, 0.0162756
4.26667, 0.259909, 0.0277033
4.33333, 0.258917, 0.0254875
4.4, 0.258977, 0.0154271
4.46667, 0.257939, 0.0232744
4.53333, 0.256202, 0.024004
4.6, 0.255704, 0.0139841
4.66667, 0.251394, 0.0244795
4.73333, 0.249092, 0.0206802
4.8, 0.248279, 0.0113224
4.86667, 0.245952, 0.0188886
4.93333, 0.244306, 0.0177834
5, 0.242996, 0.00962266
5.06667, 0.240712, 0.0168133
5.13333, 0.239453, 0.0155649
5.2, 0.239099, 0.00839314
5.26667, 0.237907, 0.0157189
5.33333, 0.238043, 0.0171754
5.4, 0.238994, 0.0108846
5.46667, 0.241172, 0.0179104
5.53333, 0.246303, 0.0217395
5.6, 0.249643, 0.016335
5.66667, 0.256891, 0.0261657
5.73333, 0.265576, 0.0288112
5.8, 0.270113, 0.0221394
5.86667, 0.278298, 0.0324403
5.93333, 0.286137, 0.0361964
6, 0.28881, 0.0273088
6.06667, 0.296233, 0.039785
6.13333, 0.301291, 0.041763
6.2, 0.302494, 0.0298867
